"file","size_bytes","status"
"annual_timeseries_ols_idw4 • Mandena.png",8016,"OK"
"annual_timeseries_ols_idw4 • Sarahandrano.png",8075,"OK"
"annual_timeseries_ols_nearest1 • Mandena.png",8098,"OK"
"annual_timeseries_ols_nearest1 • Sarahandrano.png",9381,"OK"
"bars_delta_rh_mean_idw4 • Mandena.png",23590,"OK"
"bars_delta_rh_mean_idw4 • Sarahandrano.png",24237,"OK"
"bars_delta_rh_mean_nearest1 • Mandena.png",23745,"OK"
"bars_delta_rh_mean_nearest1 • Sarahandrano.png",23861,"OK"
"bars_delta_vpd_vs_baselines_idw4 • Mandena.png",24417,"OK"
"bars_delta_vpd_vs_baselines_idw4 • Sarahandrano.png",25231,"OK"
"bars_delta_vpd_vs_baselines_nearest1 • Mandena.png",24623,"OK"
"bars_delta_vpd_vs_baselines_nearest1 • Sarahandrano.png",24552,"OK"
"heatmap_delta_tmean_c_idw4 • Mandena.png",15930,"OK"
"heatmap_delta_tmean_c_idw4 • Sarahandrano.png",16216,"OK"
"heatmap_delta_tmean_c_nearest1 • Mandena.png",16583,"OK"
"heatmap_delta_tmean_c_nearest1 • Sarahandrano.png",16205,"OK"
"heatmap_delta_tmean_c_vs_2013-2017_idw4 • Mandena.png",9813,"OK"
"heatmap_delta_tmean_c_vs_2013-2017_idw4 • Sarahandrano.png",9943,"OK"
"heatmap_delta_tmean_c_vs_2013-2017_nearest1 • Mandena.png",10130,"OK"
"heatmap_delta_tmean_c_vs_2013-2017_nearest1 • Sarahandrano.png",10229,"OK"
"map_era5_cells_nearest_vs_idw.png",36136,"OK"
"P1_palm_hours_yearlines_byvillage.png",31006,"OK"
"P10_loss_area_yearly_byvillage.png",29508,"OK"
"P11_max_block70_histogram_byvillage.png",11888,"OK"
"P12_shift_window_workability_monthly_byvillage.png",28259,"OK"
"P2_workability_all_yearlines_byvillage.png",27166,"OK"
"P4_schedulability_share_days_ge4h70_by_month.png",14641,"OK"
"P5_degree_hours_monthly_byvillage.png",20231,"OK"
"P8_workability_percentiles_monthly_byvillage.png",20826,"OK"
