village,year,loss
Mandena,1980,316.388547182977
Mandena,1981,318.601591283698
Mandena,1982,310.099584854153
Mandena,1983,302.660128888149
Mandena,1984,301.385375497652
Mandena,1985,298.032649162392
Mandena,1986,311.777796975932
Mandena,1987,296.967732612411
Mandena,1988,308.608123562464
Mandena,1989,287.436367631858
Mandena,1990,308.222262685695
Mandena,1991,322.321301693829
Mandena,1992,289.581465012452
Mandena,1993,309.394403537085
Mandena,1994,314.68453917781
Mandena,1995,284.141868667939
Mandena,1996,279.513530373797
Mandena,1997,307.259316569686
Mandena,1998,307.24899506838
Mandena,1999,325.266865860116
Mandena,2000,318.598227927084
Mandena,2001,301.593000207401
Mandena,2002,304.447290650034
Mandena,2003,293.726192631636
Mandena,2004,308.585950254494
Mandena,2005,271.867121080878
Mandena,2006,336.289267084926
Mandena,2007,296.026542840356
Mandena,2008,322.694694340671
Mandena,2009,303.148922826486
Mandena,2010,299.0772349699
Mandena,2011,317.353924066971
Mandena,2012,292.280103845204
Mandena,2013,298.678266596773
Mandena,2014,310.24647112694
Mandena,2015,305.901518447422
Mandena,2016,309.384253286752
Mandena,2017,323.390400753368
Mandena,2018,319.508502039005
Mandena,2019,296.446485100862
Mandena,2020,320.035140485907
Mandena,2021,291.675009470539
Mandena,2022,299.517177710644
Mandena,2023,342.281758860857
Mandena,2024,333.077767534641
Sarahandrano,1980,190.529846192118
Sarahandrano,1981,193.491126248715
Sarahandrano,1982,189.595358723675
Sarahandrano,1983,186.44124616158
Sarahandrano,1984,186.040965297079
Sarahandrano,1985,181.462656898089
Sarahandrano,1986,190.154563421693
Sarahandrano,1987,180.698354556846
Sarahandrano,1988,188.20370356326
Sarahandrano,1989,174.523002868615
Sarahandrano,1990,189.566521895788
Sarahandrano,1991,196.417837515995
Sarahandrano,1992,179.080482267088
Sarahandrano,1993,190.248069439758
Sarahandrano,1994,193.720655514406
Sarahandrano,1995,173.986547365368
Sarahandrano,1996,173.943970067588
Sarahandrano,1997,187.553753921725
Sarahandrano,1998,188.06666863145
Sarahandrano,1999,197.831730957743
Sarahandrano,2000,193.42901062693
Sarahandrano,2001,184.16425653083
Sarahandrano,2002,187.088212938173
Sarahandrano,2003,182.520506641985
Sarahandrano,2004,187.503966120269
Sarahandrano,2005,168.061683893469
Sarahandrano,2006,206.496543247399
Sarahandrano,2007,182.867794566337
Sarahandrano,2008,197.400113821564
Sarahandrano,2009,185.810205502253
Sarahandrano,2010,183.135966358239
Sarahandrano,2011,191.072136126095
Sarahandrano,2012,179.578406274064
Sarahandrano,2013,182.539322438419
Sarahandrano,2014,189.55120775697
Sarahandrano,2015,186.643263850599
Sarahandrano,2016,190.894610992773
Sarahandrano,2017,195.587322053743
Sarahandrano,2018,193.65705968888
Sarahandrano,2019,182.559874208689
Sarahandrano,2020,197.373314808201
Sarahandrano,2021,178.898427389509
Sarahandrano,2022,184.790376187949
Sarahandrano,2023,206.975801697565
Sarahandrano,2024,203.4896835697
