village,month,work_day
Mandena,1,53.4173764273901
Mandena,2,50.7457569421213
Mandena,3,55.4392982327505
Mandena,4,66.3661347964806
Mandena,5,81.2813942986111
Mandena,6,92.5645698489792
Mandena,7,95.7278813081592
Mandena,8,95.5724025317593
Mandena,9,93.4988002290607
Mandena,10,86.3741699456218
Mandena,11,76.0361141956181
Mandena,12,62.0512166552507
Sarahandrano,1,67.8831475257648
Sarahandrano,2,65.5570232719981
Sarahandrano,3,69.8157270162238
Sarahandrano,4,79.0736210663323
Sarahandrano,5,89.530988234436
Sarahandrano,6,96.3347911819554
Sarahandrano,7,97.9919258726825
Sarahandrano,8,97.9009848772336
Sarahandrano,9,96.7239964730425
Sarahandrano,10,92.3691519350515
Sarahandrano,11,85.6168014764199
Sarahandrano,12,75.1583571240548
