village,month,morn,mid,aft,nite
Mandena,1,58.4029771382108,49.862199631162,73.1825146822947,92.7482870937052
Mandena,2,58.4412101638774,46.7637418799772,71.2197505670255,92.4492014254028
Mandena,3,63.2522182542085,52.2761608911206,72.5383696127127,92.9107255943543
Mandena,4,73.0368293394455,64.023771194395,79.8446386513835,94.9155392964097
Mandena,5,85.5307887799976,80.147987849302,89.2566220289279,97.6358646912353
Mandena,6,94.7158227622857,91.9938142672243,95.8394231301125,99.1829500805983
Mandena,7,97.1695101721788,95.3254908945059,97.5606754288331,99.530575146565
Mandena,8,96.8172506491349,95.2029576646759,97.5612433742063,99.5369545909324
Mandena,9,94.7697065076837,93.1147017148436,96.4333873184308,99.348051097771
Mandena,10,87.9949796343306,85.5278508966325,92.3108212468792,98.2409022503064
Mandena,11,77.4292836986661,74.5698032931808,86.1884027874832,96.2830483214511
Mandena,12,63.5813622044773,59.3598710620989,78.3350425097068,93.7107467771201
Sarahandrano,1,70.5703106358605,65.1377529693111,83.9839590653874,96.2036912182183
Sarahandrano,2,70.4600685577292,62.248861568654,82.6472871472339,96.0387878775323
Sarahandrano,3,74.7775435214178,67.2482011306764,83.742464883175,96.0975211094399
Sarahandrano,4,83.2536159473937,77.3836973339336,88.6509388053088,97.1319004114665
Sarahandrano,5,91.8461409300271,88.8927416704499,94.3620942092283,98.6978376712005
Sarahandrano,6,97.3974234369188,96.0535193340887,98.0017751250116,99.5583997402842
Sarahandrano,7,98.6847727855226,97.799099268589,98.865081617127,99.749094773316
Sarahandrano,8,98.4896672427309,97.7422557658848,98.8517159847217,99.7583980942023
Sarahandrano,9,97.3170213215529,96.5713759233922,98.2210394549204,99.6655268388929
Sarahandrano,10,93.0915977065604,91.9474765150169,95.8448469376089,99.1074419624028
Sarahandrano,11,86.0043994503661,84.7609873530959,92.2960640851423,98.0684765435784
Sarahandrano,12,75.3274019215082,73.3129693085272,87.4711436316329,96.6927575105685
