village,year,palm_hours
Mandena,1980,3877
Mandena,1981,3928
Mandena,1982,4165
Mandena,1983,3986
Mandena,1984,3465
Mandena,1985,3365
Mandena,1986,3666
Mandena,1987,3781
Mandena,1988,3732
Mandena,1989,3432
Mandena,1990,3608
Mandena,1991,3861
Mandena,1992,3378
Mandena,1993,3437
Mandena,1994,3778
Mandena,1995,3644
Mandena,1996,3236
Mandena,1997,3693
Mandena,1998,3651
Mandena,1999,3061
Mandena,2000,3207
Mandena,2001,3531
Mandena,2002,3973
Mandena,2003,3933
Mandena,2004,3658
Mandena,2005,3649
Mandena,2006,4128
Mandena,2007,3791
Mandena,2008,3842
Mandena,2009,3899
Mandena,2010,3875
Mandena,2011,3726
Mandena,2012,4065
Mandena,2013,3823
Mandena,2014,3998
Mandena,2015,4041
Mandena,2016,3660
Mandena,2017,4046
Mandena,2018,4113
Mandena,2019,4601
Mandena,2020,3990
Mandena,2021,3887
Mandena,2022,3445
Mandena,2023,3933
Mandena,2024,4171
Sarahandrano,1980,2723
Sarahandrano,1981,2736
Sarahandrano,1982,2854
Sarahandrano,1983,2986
Sarahandrano,1984,2285
Sarahandrano,1985,2169
Sarahandrano,1986,2390
Sarahandrano,1987,2831
Sarahandrano,1988,2589
Sarahandrano,1989,2299
Sarahandrano,1990,2289
Sarahandrano,1991,2533
Sarahandrano,1992,2320
Sarahandrano,1993,2155
Sarahandrano,1994,2555
Sarahandrano,1995,2496
Sarahandrano,1996,2149
Sarahandrano,1997,2462
Sarahandrano,1998,2683
Sarahandrano,1999,2070
Sarahandrano,2000,2104
Sarahandrano,2001,2417
Sarahandrano,2002,2903
Sarahandrano,2003,2856
Sarahandrano,2004,2607
Sarahandrano,2005,2594
Sarahandrano,2006,2978
Sarahandrano,2007,2728
Sarahandrano,2008,2715
Sarahandrano,2009,2849
Sarahandrano,2010,2884
Sarahandrano,2011,2541
Sarahandrano,2012,2899
Sarahandrano,2013,2867
Sarahandrano,2014,2888
Sarahandrano,2015,3089
Sarahandrano,2016,2870
Sarahandrano,2017,3047
Sarahandrano,2018,3029
Sarahandrano,2019,3747
Sarahandrano,2020,3070
Sarahandrano,2021,2884
Sarahandrano,2022,2499
Sarahandrano,2023,2965
Sarahandrano,2024,3454
