scheme,village,month,month_lab,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
idw4,Mandena,1,Jan,2018-2022,2013-2017,tmean_c,23.9714404246975,23.8401406099486,0.131299814748971,0.550751008130292,0.617993562585622,0.301500119639954,-0.281907446776821,0.584032265533654,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,tmax_c,28.5797228271505,28.5038124053512,0.0759104217993354,0.266316732371857,0.842131031692973,0.117988812534982,-0.549734000596073,0.699787477604551,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,tmin_c,20.7286772484261,20.4196206759704,0.309056572455752,1.51352749083849,0.2822574593813,0.664448286537869,-0.149029968276586,0.758453982923304,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,rh_mean,87.6026284338465,87.5050509517854,0.0975774820611122,0.111510685383038,0.949021697105417,0.0376848506283908,-2.58019333844838,2.52616898574125,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,vpd_kpa,0.426754239340863,0.431770373884582,-0.00501613454371819,-1.16175977953019,0.927838251625518,-0.0534103631210106,-0.0903532202158205,0.0977262974728522,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,ssrd_MJ_day,1.39672076877797e-05,1.64124316364398e-05,-2.44522394866013e-06,-14.8986085841851,0.606024429714174,-0.311549912320597,-1.0817009730811e-05,4.43129781250553e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,wbgt28_h,13,13.2,-0.199999999999999,-1.51515151515151,0.973028342016321,-0.019936767977499,-10.2,9.8,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,tmean_c,23.9714404246975,23.7323277802288,0.239112644468783,1.00753978574317,0.254089057647776,0.712012607697003,-0.1048633773922,0.572743991267942,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,tmax_c,28.5797228271505,28.6561685815404,-0.0764457543898978,-0.266768930299852,0.832163512669393,-0.125384395453816,-0.650025598738111,0.558359688944955,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,tmin_c,20.7286772484261,20.4118986992936,0.316778549132547,1.55193083112601,0.140626852824253,0.939862601194864,-0.0254574539104591,0.660266070115475,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,rh_mean,87.6026284338465,88.7097230742154,-1.10709464036893,-1.24799695231009,0.432840436036116,-0.472760946056952,-3.47311319244334,1.28784343597747,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,vpd_kpa,0.426754239340863,0.389611101652579,0.0371431376882847,9.53338791701211,0.477930560829671,0.427132456006822,-0.0449683993769683,0.128702844822593,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,ssrd_MJ_day,1.39672076877797e-05,1.4498529408505e-05,-5.31321720725351e-07,-3.66465939927446,0.927005168972348,-0.0540082681646372,-1.07120640075509e-05,8.63169652321574e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,wbgt28_h,13,11.4,1.6,14.0350877192982,0.77149681709933,0.171630000034385,-7.2,11,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,tmean_c,23.9714404246975,23.5959133280333,0.375527096664261,1.59149210053299,0.0753333559742556,1.18897685684138,0.0892505273699825,0.719183042480697,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,tmax_c,28.5797228271505,28.1274151216185,0.452307705532082,1.60806708891086,0.260945433095382,0.697729381051625,-0.171107595331786,1.12894643063779,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,tmin_c,20.7286772484261,20.3932331811494,0.335444067276693,1.64487928077419,0.140398331819871,0.935646808869397,-0.0178512651134495,0.682676380777502,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,rh_mean,87.6026284338465,89.4262818152556,-1.82365338140909,-2.03928123186039,0.173527868191604,-0.876804751888781,-4.0217555156157,0.053990639616475,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,vpd_kpa,0.426754239340863,0.357478174377394,0.0692760649634691,19.379103377185,0.17355688546703,0.885173936952853,-0.000526763185056811,0.154253350721922,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,ssrd_MJ_day,1.39672076877797e-05,1.84921710506704e-05,-4.52496336289075e-06,-24.4696166312322,0.520391554354343,-0.385298312067553,-1.63523504083795e-05,6.0009770964386e-06,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,wbgt28_h,13,10.6,2.4,22.6415094339623,0.644082026686725,0.274419699467832,-5.4,11.995,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,wbgt31_h,0,0.2,-0.2,-100,0.373900966300059,-0.571250157965901,-0.6,0,5,5
idw4,Mandena,1,Jan,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,tmean_c,24.0636552082583,23.9895018924456,0.0741533158126977,0.309107359315572,0.741810817667107,0.196410125105512,-0.311392560098622,0.452093533435107,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,tmax_c,29.1056301075666,28.6837927828961,0.421837324670484,1.47064695336254,0.317494783314487,0.613055232711503,-0.298241859540806,1.08528374297688,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,tmin_c,20.5928929058901,20.6519083528505,-0.0590154469603625,-0.285762680872138,0.731190191861272,-0.203250779983441,-0.338339847678993,0.246127087157344,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,rh_mean,86.8033538327011,88.8808980878027,-2.0775442551016,-2.33744741535944,0.0757170426163569,-1.17187102466622,-3.86963714025471,-0.410039239327233,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,vpd_kpa,0.462151348205589,0.389135993262392,0.0730153549431973,18.7634544754033,0.110477422659229,1.02857212806443,0.00861184156853758,0.148732999878605,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,ssrd_MJ_day,7.43310100856912e-06,4.68161434623477e-06,2.75148666233435e-06,58.7721768356946,0.463489009114088,0.439983958632106,-2.9589362582932e-06,9.13708698944474e-06,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,wbgt28_h,12,11.8,0.199999999999999,1.69491525423728,0.95228809725552,0.0353594970890573,-6.2,5.4,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,tmean_c,24.0636552082583,23.8444050288392,0.219250179419078,0.919503670374244,0.314736148121255,0.619525511422917,-0.132312140247962,0.588688916163188,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,tmax_c,29.1056301075666,28.6314779132721,0.474152194294454,1.65605211065497,0.189856446024205,0.818485138749962,-0.0838255640689779,1.11408046223401,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,tmin_c,20.5928929058901,20.4547602350387,0.138132670851441,0.675308188725781,0.5718713069582,0.340099825997989,-0.290975107808093,0.514195351880036,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,rh_mean,86.8033538327011,87.8007219649204,-0.997368132219265,-1.13594525181439,0.278810893622717,-0.701090781811532,-2.60683683170093,0.306933372278637,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,vpd_kpa,0.462151348205589,0.417888318132566,0.0442630300730236,10.5920716498665,0.234613468397908,0.773749158689634,-0.00401986290956487,0.109547953923081,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,ssrd_MJ_day,7.43310100856912e-06,8.71138685070899e-06,-1.27828584213987e-06,-14.6737352392499,0.783820393677341,-0.162603960484922,-9.56293841295731e-06,6.20339318514238e-06,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,wbgt28_h,12,13.2,-1.2,-9.09090909090909,0.695696081246352,-0.231873897978109,-6.2,4,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,tmean_c,24.0636552082583,23.8278184577894,0.235836750468938,0.989753849630502,0.350500634655464,0.577281417262533,-0.145186504498069,0.659129523567053,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,tmax_c,29.1056301075666,28.7070958869174,0.3985342206492,1.38827773529967,0.389351410130658,0.525613800431652,-0.359079117357297,1.1764241863028,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,tmin_c,20.5928929058901,20.4437835068703,0.149109399019782,0.729363030916818,0.330916930562718,0.595848171944188,-0.0867789639323948,0.413252533873784,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,rh_mean,86.8033538327011,88.7628923234232,-1.95953849072207,-2.20761000394415,0.151353621624055,-0.909534138334085,-4.02791799597637,0.214349936557623,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,vpd_kpa,0.462151348205589,0.390712031026525,0.0714393171790645,18.2843914458868,0.165541574030118,0.873011444085156,-0.0120436369539611,0.154992519276873,5,5
idw4,Mandena,2,Feb,2018-2022,2003-2007,ssrd_MJ_day,7.43310100856912e-06,6.62538839022239e-06,8.07712618346724e-07,12.1911738719911,0.802075734482353,0.149042155586011,-4.10220316641021e-06,6.20230662799949e-06,5,5
