"","district","cases","page","method","url","date_start","date_end","V1"
"1","Colombo",270,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"2","Gampaha",461,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"3","Kalutara",392,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"4","Kandy",171,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"5","Matale",148,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"6","Nuwara Eliya",71,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"7","Galle",491,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"8","Hambantota",250,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"9","Matara",297,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"10","Jaffna",123,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"11","Kilinochchi",60,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"12","Mannar",20,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"13","Vavuniya",62,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"14","Mullaitivu",51,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"15","Batticaloa",76,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"16","Ampara",136,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"17","Trincomalee",105,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"18","Kurunegala",475,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"19","Puttalam",190,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"20","Anuradhapura",286,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"21","Polonnaruwa",196,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"22","Badulla",191,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"23","Kegalle",461,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"24","Kalmunai",74,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8f8d9bf264_Vol_52_no_28-english.pdf",2025-06-14,2025-06-20,NA
"25","Colombo",262,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8fa4a49222_Vol_52_no_27-english.pdf",2025-06-07,2025-06-13,NA
"26","Gampaha",453,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8fa4a49222_Vol_52_no_27-english.pdf",2025-06-07,2025-06-13,NA
"27","Kalutara",381,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8fa4a49222_Vol_52_no_27-english.pdf",2025-06-07,2025-06-13,NA
"28","Kandy",165,3,"columns","https://www.epid.gov.lk/storage/post/pdfs/en_68c8fa4a49222_Vol_52_no_27-english.pdf",2025-06-07,2025-06-13,NA
