table_id,district,dengue_A,dengue_B,dysentery_A,dysentery_B,encephalitis_A,encephalitis_B,enteric_fever_A,enteric_fever_B,food_poisoning_A,food_poisoning_B,leptospirosis_A,leptospirosis_B,typhus_f_A,typhus_f_B,viral_hep_A,viral_hep_B,rabies_A,rabies_B,date_start,date_end,date_mid,lepto,dengue,year
3,Colombo,285,7089,0,18,0,4,1,7,0,5,8,270,0,5,0,12,0,0,2025-06-14,2025-06-20,2025-06-17,8,285,2025
3,Gampaha,181,4545,0,26,0,24,0,1,7,121,8,461,0,8,1,11,0,0,2025-06-14,2025-06-20,2025-06-17,8,181,2025
3,Kalutara,57,1423,0,28,0,6,1,11,0,41,11,392,1,2,0,4,0,0,2025-06-14,2025-06-20,2025-06-17,11,57,2025
3,Kandy,174,2309,0,37,0,3,0,5,0,19,6,171,2,36,0,7,0,0,2025-06-14,2025-06-20,2025-06-17,6,174,2025
3,Matale,14,789,0,15,0,1,0,0,0,50,6,148,0,4,1,7,0,0,2025-06-14,2025-06-20,2025-06-17,6,14,2025
3,Nuwara Eliya,8,166,4,48,1,5,0,4,1,47,3,71,3,40,0,0,0,0,2025-06-14,2025-06-20,2025-06-17,3,8,2025
3,Galle,47,1198,1,26,0,3,1,2,0,41,21,491,3,51,0,8,0,1,2025-06-14,2025-06-20,2025-06-17,21,47,2025
3,Hambantota,24,512,0,16,0,4,0,0,0,4,8,250,0,20,0,4,0,0,2025-06-14,2025-06-20,2025-06-17,8,24,2025
3,Matara,39,988,1,10,0,2,0,1,0,7,10,297,0,12,1,10,0,0,2025-06-14,2025-06-20,2025-06-17,10,39,2025
3,Jaffna,17,778,4,55,0,2,0,11,2,34,2,123,9,375,0,2,1,2,2025-06-14,2025-06-20,2025-06-17,2,17,2025
3,Kilinochchi,2,66,1,11,0,0,0,4,0,5,1,60,0,11,0,1,0,0,2025-06-14,2025-06-20,2025-06-17,1,2,2025
3,Mannar,2,114,0,5,0,0,0,0,0,2,0,20,0,14,0,0,0,0,2025-06-14,2025-06-20,2025-06-17,0,2,2025
3,Vavuniya,3,59,0,9,0,0,0,1,0,36,1,62,0,7,0,0,0,0,2025-06-14,2025-06-20,2025-06-17,1,3,2025
3,Mullaitivu,2,48,0,5,0,0,0,1,0,23,1,51,0,7,0,0,0,0,2025-06-14,2025-06-20,2025-06-17,1,2,2025
